Full Journal Title,Journal Impact Factor,Search Result
49,BMJ-British Medical Journal,23.259,Not Found
71,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,20.099,Not Found
78,Nature Climate Change,19.181,Ok
78,Nature Climate Change,19.181,Ok
97,Industrial and Organizational Psychology-Perspectives on Science and Practice,16.375,Not Found
105,TRENDS IN COGNITIVE SCIENCES,15.557,Ok
105,TRENDS IN COGNITIVE SCIENCES,15.557,Ok
116,BEHAVIORAL AND BRAIN SCIENCES,15.071,Ok
116,BEHAVIORAL AND BRAIN SCIENCES,15.071,Ok
167,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,12.888,Ok
170,Alzheimers & Dementia,12.740,Not Found
209,JNCI-Journal of the National Cancer Institute,11.238,Not Found
232,Dialogues in Human Geography,10.214,Ok
277,IEEE WIRELESS COMMUNICATIONS,9.202,Probably False - checked: IEEE Wireless Communications
339,REVIEW OF EDUCATIONAL RESEARCH,8.241,Ok
360,Acta Crystallographica A-Foundation and Advances,7.930,Not Found
411,LAND DEGRADATION & DEVELOPMENT,7.270,Ok
454,PROGRESS IN HUMAN GEOGRAPHY,6.885,Ok
460,JOURNAL OF SERVICE RESEARCH,6.842,Ok
467,Annual Review of Sociology,6.773,Ok
483,Journal of Crohns & Colitis,6.637,Not Found
525,ECONOMIC GEOGRAPHY,6.438,Ok
535,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,6.371,Not Found
535,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,6.371,Not Found
570,Social Issues and Policy Review,6.143,Ok
604,MILBANK QUARTERLY,6.000,Ok
604,MILBANK QUARTERLY,6.000,Ok
609,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,5.994,Ok
622,TOURISM MANAGEMENT,5.921,Ok
628,ADMINISTRATIVE SCIENCE QUARTERLY,5.878,Ok
639,Internet and Higher Education,5.847,Ok
660,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,5.733,Ok
665,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,5.716,Not Found
717,VALUE IN HEALTH,5.494,Ok
717,VALUE IN HEALTH,5.494,Ok
733,CEMENT AND CONCRETE RESEARCH,5.430,Not Found
733,IEEE Transactions on Industrial Informatics,5.430,Not Found
733,MIS QUARTERLY,5.430,Not Found
733,MIS QUARTERLY,5.430,Unsure
739,Global Change Biology Bioenergy,5.415,Not Found
739,Global Change Biology Bioenergy,5.415,Not Found
743,DEVELOPMENT,5.413,Ok
753,Business Strategy and the Environment,5.355,Ok
769,Scientific Data,5.305,Ok
776,Environmental Innovation and Societal Transitions,5.265,Ok
776,Environmental Innovation and Societal Transitions,5.265,Ok
786,ALTEX-Alternatives to Animal Experimentation,5.232,Not Found
790,AMERICAN JOURNAL OF POLITICAL SCIENCE,5.220,Ok
795,YALE LAW JOURNAL,5.200,Ok
804,Aging-US,5.179,Not Found
